Rank,Visual magnitude (mV),Proper name[6],Bayer designation,Distance (ly),Spectral type
41,1.90 (1.89–1.94var),Menkalinan,β Aur,100,A1mIV+A1mIV
42,1.91,Atria,α TrA,420,K2 IIb-IIIa
43,1.92,Alhena,γ Gem,100,A1.5 IV+
44,1.94,Peacock,α Pav,180,B3 V
45,1.96 (1.99–2.39var + 5.57),Alsephina,δ Vel,80,"A1 Va(n), F7.5 V"
46,1.98,Mirzam,β CMa,500,B1 II-III
47,2.00,Alphard,α Hya,180,K3 II-III
48,1.98 (1.86–2.13var),Polaris,α UMi,430,F7 Ib
49,2.00,Hamal,α Ari,66,K1 IIIb
50,2.08(2.37 + 3.64),Algieba,γ Leo,130,"K0 III, G7 IIIb"
51,2.02,Diphda,β Cet,96,K0 III
52,2.04,Mizar,ζ UMa,78,"A2 Vp, A2 Vp, Am"
53,2.05,Nunki,σ Sgr,220,B2.5 V
54,2.06,Menkent,θ Cen,61,K0 III
55,2.05 (2.01–2.10var),Mirach,β And,200,M0 III
56,2.06,Alpheratz,α And,97,"B8 IVpMnHg, A3 V"
57,2.07,Rasalhague,α Oph,47,A5 III
58,2.08,Kochab,β UMi,130,K4 III
59,2.09,Saiph,κ Ori,720,B0.5 Ia
60,2.11,Denebola,β Leo,36,A3 Va
61,2.12 (2.1–3.39var),Algol,β Per,93,"B8 V, K0 IV, A7m"
62,2.15 (2.0–2.3var),Tiaki,β Gru,170,M5 III
63,2.17,Muhlifain,γ Cen,130,"A0 III, A0 III"
64,2.21,Aspidiske,ι Car,690,A9 Ib
65,2.21 (2.14–2.30var),Suhail,λ Vel,570,K4 Ib
66,2.23 (2.21–2.32var),Alphecca,α CrB,75,"A0 V, G5 V"
67,2.23 (2.23–2.35var),Mintaka,δ Ori,900,"O9.5 II, B1 V, B0 IV"
68,2.23,Sadr,γ Cyg,1500,F8 Iab
69,2.23,Eltanin,γ Dra,150,K5 III
70,2.24,Schedar,α Cas,230,K0 IIIa
71,2.25,Naos,ζ Pup,1080,O4 If(n)p
72,2.26,Almach,γ And,350,"K3 IIb, B9.5 V, B9.5 V, A0 V"
73,2.28 (2.25–2.31var),Caph,β Cas,54,F2 III
74,2.29,Izar,ε Boo,202,"K0 II-III, A2 V"
75,2.30 (2.29–2.34var),–,α Lup,550,B1.5 III
76,2.30 (2.29–2.31var),–,ε Cen,380,B1III
77,2.31 (1.6–2.32var),Dschubba,δ Sco,400,"B0.3 IV, B1-3 V"
78,2.31,Larawag,ε Sco,65,K1 III
79,2.35 (2.30–2.41var),–,η Cen,310,B1.5 Vne
80,2.37,Merak,β UMa,79,A1 IVps
81,2.38,Ankaa,α Phe,77,K0.5 IIIb
82,2.39,,κ Sco,460,B1.5 III
83,2.40 (0.7–3.0var),Enif,ε Peg,670,K2 Ib
84,2.42 (2.31–2.74var),Scheat,β Peg,200,M2.5 II-IIIe
85,2.43,Sabik,η Oph,88,"A1 IV, A1 IV"
86,2.44,Phecda,γ UMa,84,A0 Ve
87,2.45,Aludra,η CMa,2000,B5 Ia
88,2.46,Markeb,κ Vel,540,B2 IV
89,2.47 (1.6–3.0var),,γ Cas,610,B0.5 IVe
90,2.48,Markab,α Peg,140,A0 IV
91,2.48,Aljanah,ε Cyg,72,K0 III-IV
92,2.50,Acrab,β Sco,404,"B0.5 IV-V, B1.5 V, B2 V"
